timestamp;rssi1;rssi2;rssi3;rssi4;rssi5;rssi6;rssi7;rssi8;
20180523-154209.109;-52.5;-43.5;-52;-70;-70;-70;-70;-70
20180523-154209.359;-53;-43.5;-54;-70;-70;-70;-70;-70
20180523-154209.625;-53;-43;-53.5;-70;-70;-70;-70;-70
20180523-154209.859;-54;-43.5;-53;-70;-70;-70;-70;-70
20180523-154210.109;-53.5;-43.5;-53.5;-70;-70;-70;-70;-70
20180523-154210.375;-53;-43.5;-56;-70;-70;-70;-70;-70
20180523-154210.625;-53.5;-43.5;-56;-70;-70;-70;-70;-70
20180523-154210.875;-54;-42.5;-53.5;-70;-70;-70;-70;-70
20180523-154211.109;-53.5;-42.5;-52;-70;-70;-70;-70;-70
20180523-154211.359;-49.5;-43;-56;-70;-70;-70;-70;-70
20180523-154211.609;-50.5;-43.5;-53.5;-70;-70;-70;-70;-70
20180523-154211.859;-50.5;-43.5;-52.5;-70;-70;-70;-70;-70
20180523-154212.109;-53;-40;-53;-70;-70;-70;-70;-70
20180523-154212.359;-50.5;-43;-52.5;-70;-70;-70;-70;-70
20180523-154212.625;-53;-44;-52;-70;-70;-70;-70;-70
20180523-154212.859;-52.5;-43;-57.5;-70;-70;-70;-70;-70
20180523-154213.109;-52.5;-43;-53.5;-70;-70;-70;-70;-70
20180523-154213.359;-54;-44;-53;-70;-70;-70;-70;-70
20180523-154213.609;-54;-42.5;-53.5;-70;-70;-70;-70;-70
20180523-154213.859;-52.5;-43.5;-54.5;-70;-70;-70;-70;-70
20180523-154214.109;-54.5;-43.5;-55;-70;-70;-70;-70;-70
20180523-154214.375;-52;-44;-56;-70;-70;-70;-70;-70
20180523-154214.625;-53.5;-43;-54;-70;-70;-70;-70;-70
20180523-154214.859;-54.5;-43.5;-52.5;-70;-70;-70;-70;-70
20180523-154215.109;-54;-42.5;-70;-70;-70;-70;-70;-70
20180523-154215.109;-52.5;-43.5;-55;-70;-70;-70;-70;-70
20180523-154215.359;-55;-43.5;-55;-70;-70;-70;-70;-70
20180523-154215.609;-54.5;-43.5;-54;-70;-70;-70;-70;-70
20180523-154215.859;-52.5;-70;-70;-70;-70;-70;-70;-70
20180523-154216.109;-53;-43;-53;-70;-70;-70;-70;-70
20180523-154216.359;-53.5;-43.5;-54;-70;-70;-70;-70;-70
20180523-154216.609;-53;-43.5;-52;-70;-70;-70;-70;-70
20180523-154216.859;-52.5;-43;-53.5;-70;-70;-70;-70;-70
20180523-154217.125;-52.5;-43;-53.5;-70;-70;-70;-70;-70
20180523-154217.359;-53;-43.5;-54;-70;-70;-70;-70;-70
20180523-154217.609;-52.5;-44;-55.5;-70;-70;-70;-70;-70
20180523-154217.859;-54;-44;-55.5;-70;-70;-70;-70;-70
20180523-154218.109;-52.5;-43.5;-53;-70;-70;-70;-70;-70
20180523-154218.359;-53;-43;-54;-70;-70;-70;-70;-70
20180523-154218.625;-52;-43.5;-57;-70;-70;-70;-70;-70
20180523-154218.859;-52;-43.5;-55.5;-70;-70;-70;-70;-70
20180523-154219.109;-52;-43.5;-53;-70;-70;-70;-70;-70
20180523-154219.359;-54.5;-42;-52.5;-70;-70;-70;-70;-70
20180523-154219.609;-53;-43;-54;-70;-70;-70;-70;-70
20180523-154219.859;-53.5;-43;-52.5;-70;-70;-70;-70;-70
20180523-154220.109;-53.5;-43.5;-54;-70;-70;-70;-70;-70
20180523-154220.359;-54;-43.5;-70;-70;-70;-70;-70;-70
20180523-154220.625;-55;-43.5;-56.5;-70;-70;-70;-70;-70
20180523-154220.859;-52.5;-44;-56;-70;-70;-70;-70;-70
20180523-154221.109;-53.5;-43;-52.5;-70;-70;-70;-70;-70
20180523-154221.375;-54;-43.5;-70;-70;-70;-70;-70;-70
20180523-154221.609;-51;-43;-50;-70;-70;-70;-70;-70
20180523-154221.859;-53.5;-43.5;-52;-70;-70;-70;-70;-70
20180523-154222.359;-54;-42.5;-50.5;-70;-70;-70;-70;-70
20180523-154222.625;-53;-42;-52;-70;-70;-70;-70;-70
20180523-154222.875;-52.5;-44;-57;-70;-70;-70;-70;-70
20180523-154223.125;-53;-43;-53;-70;-70;-70;-70;-70
20180523-154223.390;-54.5;-44;-70;-70;-70;-70;-70;-70
20180523-154223.609;-54;-42.5;-53.5;-70;-70;-70;-70;-70
20180523-154223.875;-53.5;-43.5;-54.5;-70;-70;-70;-70;-70
20180523-154224.109;-54;-43.5;-57.5;-70;-70;-70;-70;-70
20180523-154224.359;-55;-43.5;-55;-70;-70;-70;-70;-70
20180523-154224.609;-53;-44.5;-54.5;-70;-70;-70;-70;-70
20180523-154224.859;-53;-43;-54.5;-70;-70;-70;-70;-70
20180523-154225.125;-53.5;-42.5;-52;-70;-70;-70;-70;-70
20180523-154225.390;-53;-43.5;-55.5;-70;-70;-70;-70;-70
20180523-154225.609;-55;-43.5;-54;-70;-70;-70;-70;-70
20180523-154225.859;-55;-43.5;-54;-70;-70;-70;-70;-70
20180523-154226.109;-53;-41;-70;-70;-70;-70;-70;-70
20180523-154226.359;-53;-43.5;-55;-70;-70;-70;-70;-70
20180523-154226.609;-53.5;-43.5;-54;-70;-70;-70;-70;-70
20180523-154226.859;-52.5;-43;-53;-70;-70;-70;-70;-70
20180523-154227.125;-54;-40;-52.5;-70;-70;-70;-70;-70
20180523-154227.375;-53;-43;-53.5;-70;-70;-70;-70;-70
