timestamp;rssi1;rssi2;rssi3;rssi4;rssi5;rssi6;rssi7;rssi8
21:16:42.671;-34.5;-80;-80;-80;-80;-80;-80;-80
21:16:42.921;-36.5;-80;-80;-80;-80;-80;-80;-80
21:16:43.171;-36.5;-80;-57.5;-80;-80;-80;-80;-80
21:16:43.421;-34.5;-80;-59.5;-80;-80;-80;-80;-80
21:16:43.921;-33.5;-80;-80;-80;-80;-80;-80;-80
21:16:44.171;-33.5;-61;-80;-80;-80;-80;-80;-80
21:16:44.421;-32.5;-80;-57;-80;-80;-80;-80;-80
21:16:44.921;-37;-80;-80;-80;-80;-80;-80;-80
21:16:45.171;-34.5;-80;-80;-80;-80;-80;-80;-80
21:16:45.421;-34.5;-80;-80;-80;-80;-80;-80;-80
21:16:45.671;-37;-80;-56.5;-80;-80;-80;-80;-80
21:16:45.921;-34.5;-80;-59.5;-80;-80;-80;-80;-80
21:16:46.171;-37.5;-80;-80;-80;-80;-80;-80;-80
21:16:46.671;-32.5;-80;-80;-80;-80;-80;-80;-80
21:16:47.421;-33;-80;-80;-80;-80;-80;-80;-80
21:16:47.671;-37;-80;-80;-80;-80;-80;-80;-80
21:16:47.921;-34.5;-80;-80;-80;-80;-80;-80;-80
21:16:48.187;-37;-80;-80;-80;-80;-80;-80;-80
21:16:48.921;-35;-80;-80;-80;-80;-80;-80;-80
21:16:49.171;-32.5;-80;-56;-80;-80;-80;-80;-80
21:16:49.421;-33;-80;-57;-80;-80;-80;-80;-80
21:16:49.937;-33;-80;-80;-80;-80;-80;-80;-80
21:16:50.171;-37;-80;-80;-80;-80;-80;-80;-80
21:16:50.421;-36;-80;-56;-80;-80;-80;-80;-80
21:16:50.671;-37;-80;-80;-80;-80;-80;-80;-80
21:16:50.921;-32.5;-80;-80;-80;-80;-80;-80;-80
21:16:51.171;-37;-80;-57.5;-80;-80;-80;-80;-80
21:16:51.421;-34;-80;-55.5;-80;-80;-80;-80;-80
21:16:51.671;-37;-80;-80;-80;-80;-80;-80;-80
21:16:51.921;-34.5;-80;-80;-80;-80;-80;-80;-80
21:16:52.171;-36;-80;-57.5;-80;-80;-80;-80;-80
21:16:52.671;-33;-63.5;-57;-80;-80;-80;-80;-80
