timestamp;rssi1;rssi2;rssi3;rssi4;rssi5;rssi6;rssi7;rssi8
21:22:22.687;-43;-80;-80;-60.5;-80;-80;-80;-80
21:22:22.921;-40;-80;-80;-80;-80;-80;-80;-80
21:22:23.171;-40;-80;-80;-80;-80;-80;-80;-80
21:22:23.421;-43.5;-80;-80;-80;-80;-80;-80;-80
21:22:23.671;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:23.921;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:24.171;-38.5;-80;-80;-80;-80;-80;-80;-80
21:22:24.437;-41;-80;-80;-80;-80;-80;-80;-80
21:22:24.671;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:24.921;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:25.171;-41;-80;-80;-80;-80;-80;-80;-80
21:22:25.421;-40;-80;-80;-80;-80;-80;-80;-80
21:22:25.671;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:25.921;-43;-80;-80;-59;-80;-80;-80;-80
21:22:26.171;-41;-80;-80;-80;-80;-80;-80;-80
21:22:26.421;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:26.671;-42.5;-80;-80;-60;-80;-80;-80;-80
21:22:26.937;-40.5;-80;-80;-80;-80;-80;-80;-80
21:22:27.187;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:27.421;-42;-80;-80;-80;-80;-80;-80;-80
21:22:27.671;-41;-80;-80;-80;-80;-80;-80;-80
21:22:27.921;-43;-80;-80;-80;-80;-80;-80;-80
21:22:28.171;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:28.421;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:28.671;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:28.921;-42.5;-80;-80;-61;-80;-80;-80;-80
21:22:29.187;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:29.437;-42;-80;-80;-80;-80;-80;-80;-80
21:22:29.687;-41;-80;-80;-80;-80;-80;-80;-80
21:22:29.921;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:30.171;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:30.421;-43;-80;-80;-80;-80;-80;-80;-80
21:22:30.671;-43.5;-80;-80;-58.5;-80;-80;-80;-80
21:22:30.921;-39;-80;-80;-80;-80;-80;-80;-80
21:22:31.171;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:31.421;-43;-80;-80;-59;-80;-80;-80;-80
21:22:31.687;-43;-80;-80;-80;-80;-80;-80;-80
21:22:31.921;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:32.171;-42.5;-80;-80;-60.5;-80;-80;-80;-80
21:22:32.421;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:32.671;-41;-80;-80;-80;-80;-80;-80;-80
21:22:32.921;-42.5;-80;-80;-59;-80;-80;-80;-80
21:22:33.187;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:33.421;-40.5;-80;-80;-80;-80;-80;-80;-80
21:22:33.671;-41.5;-80;-80;-59.5;-80;-80;-80;-80
21:22:33.921;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:34.187;-42.5;-80;-80;-59;-80;-80;-80;-80
21:22:34.437;-41;-80;-80;-80;-80;-80;-80;-80
21:22:34.671;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:34.921;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:35.187;-39;-80;-80;-80;-80;-80;-80;-80
21:22:35.421;-40;-80;-80;-80;-80;-80;-80;-80
21:22:35.671;-42;-80;-80;-80;-80;-80;-80;-80
21:22:35.921;-42.5;-80;-80;-58.5;-80;-80;-80;-80
21:22:36.171;-43.5;-80;-80;-58;-80;-80;-80;-80
21:22:36.437;-43;-80;-80;-59;-80;-80;-80;-80
21:22:36.671;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:36.921;-40.5;-80;-80;-80;-80;-80;-80;-80
21:22:37.171;-43;-80;-80;-58.5;-80;-80;-80;-80
21:22:37.421;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:37.671;-41;-80;-80;-80;-80;-80;-80;-80
21:22:37.921;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:38.171;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:38.421;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:38.687;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:38.953;-42.5;-80;-80;-58.5;-80;-80;-80;-80
21:22:39.171;-42;-80;-80;-60;-80;-80;-80;-80
21:22:39.421;-42;-80;-80;-80;-80;-80;-80;-80
21:22:39.671;-42;-80;-80;-80;-80;-80;-80;-80
21:22:39.921;-42;-80;-80;-80;-80;-80;-80;-80
21:22:40.171;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:40.421;-43.5;-80;-80;-80;-80;-80;-80;-80
21:22:40.671;-43;-80;-80;-80;-80;-80;-80;-80
21:22:40.921;-43.5;-80;-80;-59;-80;-80;-80;-80
21:22:41.187;-42.5;-80;-80;-59;-80;-80;-80;-80
21:22:41.437;-43;-80;-80;-80;-80;-80;-80;-80
21:22:41.671;-43;-80;-80;-59;-80;-80;-80;-80
21:22:41.921;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:42.187;-41;-80;-80;-80;-80;-80;-80;-80
21:22:42.421;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:42.671;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:42.921;-41.5;-80;-80;-60;-80;-80;-80;-80
21:22:43.171;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:43.421;-40;-80;-80;-80;-80;-80;-80;-80
21:22:43.671;-43.5;-80;-80;-80;-80;-80;-80;-80
21:22:43.921;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:44.171;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:44.421;-41;-80;-80;-80;-80;-80;-80;-80
21:22:44.671;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:44.921;-41;-80;-80;-80;-80;-80;-80;-80
21:22:45.171;-39;-80;-80;-80;-80;-80;-80;-80
21:22:45.421;-41.5;-80;-80;-80;-80;-80;-80;-80
21:22:45.671;-40;-80;-80;-56;-80;-80;-80;-80
21:22:45.953;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:46.187;-43.5;-80;-80;-80;-80;-80;-80;-80
21:22:46.421;-41;-80;-80;-58.5;-80;-80;-80;-80
21:22:46.671;-42.5;-80;-80;-80;-80;-80;-80;-80
21:22:46.921;-40.5;-80;-80;-80;-80;-80;-80;-80
21:22:47.187;-40.5;-80;-80;-60;-80;-80;-80;-80
21:22:47.421;-39;-80;-80;-80;-80;-80;-80;-80
