timestamp;rssi1;rssi2;rssi3;rssi4;rssi5;rssi6;rssi7;rssi8;
19:11:33.796;-34.5;-80;-80;-80;-80;-80;-80;-80
19:11:34.046;-34;-80;-80;-80;-80;-80;-80;-80
19:11:34.296;-35;-80;-80;-80;-80;-80;-80;-80
19:11:34.546;-33;-80;-80;-80;-80;-80;-80;-80
19:11:34.796;-34.5;-80;-80;-80;-80;-80;-80;-80
19:11:35.046;-35;-80;-80;-80;-80;-80;-80;-80
19:11:35.296;-34.5;-80;-80;-80;-80;-80;-80;-80
19:11:35.546;-32.5;-80;-80;-80;-80;-80;-80;-80
19:11:36.046;-31;-58.5;-80;-80;-80;-80;-80;-80
19:11:36.296;-31.5;-80;-80;-80;-80;-80;-80;-80
19:11:36.546;-35;-80;-80;-80;-80;-80;-80;-80
19:11:36.796;-32;-80;-80;-80;-80;-80;-80;-80
19:11:37.296;-34.5;-80;-80;-80;-80;-80;-80;-80
19:11:37.546;-35;-80;-80;-80;-80;-80;-80;-80
19:11:37.812;-33.5;-80;-80;-80;-80;-80;-80;-80
19:11:38.046;-34;-58;-80;-80;-80;-80;-80;-80
19:11:38.296;-33.5;-57.5;-80;-80;-80;-80;-80;-80
19:11:38.796;-32.5;-80;-59;-80;-80;-80;-80;-80
19:11:39.046;-32;-80;-80;-80;-80;-80;-80;-80
19:11:39.562;-33.5;-80;-80;-80;-80;-80;-80;-80
19:11:39.796;-32.5;-80;-80;-80;-80;-80;-80;-80
19:11:40.562;-31;-80;-80;-80;-80;-80;-80;-80
19:11:40.796;-34.5;-80;-80;-80;-80;-80;-80;-80
19:11:41.296;-34;-80;-80;-80;-80;-80;-80;-80
19:11:41.562;-34.5;-80;-80;-80;-80;-80;-80;-80
19:11:41.812;-34.5;-80;-80;-80;-80;-80;-80;-80
19:11:42.046;-32.5;-80;-80;-80;-80;-80;-80;-80
19:11:42.296;-33.5;-56;-80;-80;-80;-80;-80;-80
19:11:42.546;-33.5;-58;-80;-80;-80;-80;-80;-80
19:11:42.796;-31;-80;-80;-80;-80;-80;-80;-80
19:11:43.046;-33.5;-80;-80;-80;-80;-80;-80;-80
19:11:43.296;-31;-80;-80;-80;-80;-80;-80;-80
19:11:43.796;-31;-80;-80;-80;-80;-80;-80;-80
19:11:44.296;-34;-80;-80;-80;-80;-80;-80;-80
19:11:44.796;-33.5;-80;-80;-80;-80;-80;-80;-80
19:11:45.296;-32;-80;-80;-80;-80;-80;-80;-80
19:11:45.546;-35;-80;-80;-80;-80;-80;-80;-80
19:11:46.046;-31.5;-55.5;-80;-80;-80;-80;-80;-80
19:11:46.312;-31;-57.5;-80;-80;-80;-80;-80;-80
19:11:46.578;-35;-80;-80;-80;-80;-80;-80;-80
19:11:46.812;-32;-80;-80;-80;-80;-80;-80;-80
19:11:47.046;-34.5;-80;-80;-80;-80;-80;-80;-80
19:11:47.828;-32;-80;-80;-80;-80;-80;-80;-80
19:11:48.046;-34;-80;-80;-80;-80;-80;-80;-80
19:11:48.296;-31;-57;-80;-80;-80;-80;-80;-80
19:11:48.546;-33.5;-80;-80;-80;-80;-80;-80;-80
19:11:48.796;-32;-80;-80;-80;-80;-80;-80;-80
19:11:49.046;-32;-80;-80;-80;-80;-80;-80;-80
19:11:49.296;-34.5;-80;-80;-80;-80;-80;-80;-80
19:11:49.562;-31;-80;-80;-80;-80;-80;-80;-80
19:11:49.796;-35;-80;-80;-80;-80;-80;-80;-80
19:11:49.812;-35;-80;-80;-80;-80;-80;-80;-80
19:11:50.046;-32.5;-80;-80;-80;-80;-80;-80;-80
19:11:50.296;-33.5;-80;-80;-80;-80;-80;-80;-80
19:11:50.546;-31.5;-80;-80;-80;-80;-80;-80;-80
19:11:50.812;-34.5;-80;-80;-80;-80;-80;-80;-80
19:11:51.062;-31;-80;-80;-80;-80;-80;-80;-80
19:11:51.296;-34;-80;-80;-80;-80;-80;-80;-80
19:11:51.562;-35;-80;-80;-80;-80;-80;-80;-80
19:11:51.796;-35;-80;-80;-80;-80;-80;-80;-80
19:11:52.046;-32.5;-80;-80;-80;-80;-80;-80;-80
19:11:52.296;-33.5;-55.5;-80;-80;-80;-80;-80;-80
19:11:53.062;-31;-55.5;-80;-80;-80;-80;-80;-80
19:11:53.296;-31;-80;-80;-80;-80;-80;-80;-80
19:11:53.578;-31;-80;-80;-80;-80;-80;-80;-80
19:11:53.796;-33.5;-80;-80;-80;-80;-80;-80;-80
19:11:54.296;-32;-80;-80;-80;-80;-80;-80;-80
19:11:54.546;-32;-80;-80;-80;-80;-80;-80;-80
19:11:55.046;-31;-80;-80;-80;-80;-80;-80;-80
19:11:55.312;-32;-80;-80;-80;-80;-80;-80;-80
19:11:55.546;-34.5;-80;-80;-80;-80;-80;-80;-80
