timestamp;rssi1;rssi2;rssi3;rssi4;rssi5;rssi6;rssi7;rssi8
11/05/2018 18:18:42;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:42;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:42;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:43;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:43;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:43;-99;-99;-99;-99;-99;-99;-99;-39
11/05/2018 18:18:43;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:44;-99;-99;-99;-99;-99;-99;-99;-41
11/05/2018 18:18:44;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:44;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:44;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:45;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:45;-99;-99;-99;-99;-99;-99;-99;-36
11/05/2018 18:18:45;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:45;-99;-99;-99;-99;-99;-99;-99;-40,5
11/05/2018 18:18:46;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:46;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:46;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:46;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:47;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:47;-99;-99;-99;-99;-99;-99;-99;-39
11/05/2018 18:18:47;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:47;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:48;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:48;-99;-99;-99;-99;-99;-99;-99;-36
11/05/2018 18:18:48;-99;-99;-99;-99;-99;-99;-99;-39
11/05/2018 18:18:48;-99;-99;-99;-99;-99;-99;-99;-39
11/05/2018 18:18:49;-99;-99;-99;-99;-99;-99;-99;-37
11/05/2018 18:18:49;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:50;-99;-99;-99;-99;-99;-99;-99;-36
11/05/2018 18:18:50;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:50;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:51;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:51;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:51;-99;-99;-99;-99;-99;-99;-99;-39
11/05/2018 18:18:51;-99;-99;-99;-99;-99;-99;-99;-37
11/05/2018 18:18:52;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:52;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:52;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:52;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:53;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:53;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:53;-99;-99;-99;-99;-99;-99;-99;-39
11/05/2018 18:18:53;-99;-99;-99;-99;-99;-99;-99;-39
11/05/2018 18:18:54;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:54;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:54;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:54;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:55;-99;-99;-99;-99;-99;-99;-99;-39
11/05/2018 18:18:55;-99;-99;-99;-99;-99;-99;-99;-39,5
11/05/2018 18:18:55;-99;-99;-99;-99;-99;-99;-99;-39
11/05/2018 18:18:55;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:56;-99;-99;-99;-99;-99;-99;-99;-40,5
11/05/2018 18:18:56;-99;-99;-99;-99;-99;-99;-99;-40
11/05/2018 18:18:56;-99;-99;-99;-99;-99;-99;-99;-40,5
