timestamp;rssi1;rssi2;rssi3;rssi4;rssi5;rssi6;rssi7;rssi8;
2018-05-23-162021.406;-54.5;-40.5;-54.5;-70;-70;-70;-70;-70
2018-05-23-162021.656;-52.5;-44;-56;-70;-70;-70;-70;-70
2018-05-23-162021.921;-53;-43;-53;-70;-70;-70;-70;-70
2018-05-23-162022.171;-55.5;-43.5;-55.5;-70;-70;-70;-70;-70
2018-05-23-162022.406;-55.5;-43.5;-70;-70;-70;-70;-70;-70
2018-05-23-162022.656;-53;-43.5;-54;-70;-70;-70;-70;-70
2018-05-23-162022.921;-52.5;-43.5;-53;-70;-70;-70;-70;-70
2018-05-23-162023.156;-54.5;-42;-53;-70;-70;-70;-70;-70
2018-05-23-162023.406;-53;-43.5;-54;-70;-70;-70;-70;-70
2018-05-23-162023.656;-55;-43;-54.5;-70;-70;-70;-70;-70
2018-05-23-162023.906;-54;-43.5;-55.5;-70;-70;-70;-70;-70
2018-05-23-162024.156;-53;-44;-56;-70;-70;-70;-70;-70
2018-05-23-162024.406;-52.5;-43.5;-55.5;-70;-70;-70;-70;-70
2018-05-23-162024.671;-53.5;-42.5;-53;-70;-70;-70;-70;-70
2018-05-23-162024.906;-54.5;-43;-54;-70;-70;-70;-70;-70
2018-05-23-162025.156;-51;-43.5;-55.5;-70;-70;-70;-70;-70
2018-05-23-162025.406;-53.5;-43;-52.5;-70;-70;-70;-70;-70
2018-05-23-162025.656;-53;-43.5;-53.5;-70;-70;-70;-70;-70
2018-05-23-162025.921;-50;-43;-52;-70;-70;-70;-70;-70
2018-05-23-162026.156;-55;-42.5;-54;-70;-70;-70;-70;-70
2018-05-23-162026.656;-52.5;-44;-55.5;-70;-70;-70;-70;-70
2018-05-23-162026.906;-53;-40.5;-54.5;-70;-70;-70;-70;-70
2018-05-23-162027.156;-54.5;-44;-55.5;-70;-70;-70;-70;-70
2018-05-23-162027.406;-53.5;-42.5;-53.5;-70;-70;-70;-70;-70
2018-05-23-162027.656;-53;-43.5;-54.5;-70;-70;-70;-70;-70
2018-05-23-162027.906;-54.5;-43.5;-56.5;-70;-70;-70;-70;-70
2018-05-23-162028.156;-50.5;-43.5;-54.5;-70;-70;-70;-70;-70
2018-05-23-162028.406;-54;-42.5;-53.5;-70;-70;-70;-70;-70
2018-05-23-162028.656;-53;-43;-52.5;-70;-70;-70;-70;-70
2018-05-23-162028.921;-53.5;-42.5;-53;-70;-70;-70;-70;-70
